python,英 [?pa?θ?n]美 [?pa?θɑn],n. 巨蛇，大蟒;
exponential,英 [?eksp??nen?l]美 [??ksp??n?n??l],n. 指数; 倡导者; 演奏者; 例子; adj. 指数的，幂数的; 越来越快的;
alter,英 [??:lt?(r)]美 [??lt?],vt. 改变; 更改; 改建（房屋）; （人）变老; vi. 改变; 修改;
physics,英 [?f?z?ks]美 [?f?z?ks],n. 物理学; 物理现象; 物理成分;
inserted,英 [?n's?:t?d]美 [?n's?t?d],adj. 插入的; 嵌入的; 着生的; 附着的; v. 嵌入; 插入( insert的过去式和过去分
grail,英 [gre?l]美 [ɡre?l],n. 杯，圣杯，大盘; 砾石; 圣盘; 鹅卵石;
contribute,英 [k?n?tr?bju:t]美 [k?n?tr?bjut],vt.& vi. 贡献出; 捐赠（款项）; 投稿（给杂志等）; 出力;
defer,英 [d??f?:(r)]美 [d??f?],vt. 使推迟; 使延期; 拖延，推迟; [军]使延期入伍; vi. 推迟; 延期; 服从;
entropy,英 [?entr?pi]美 [??ntr?pi],n. 熵，平均信息量; 负熵;
decide,英 [d??sa?d]美 [d??sa?d],vt. 决定; 决心; 解决; 裁决; vi. 决定; 下决心;
equation,"英 [??kwe??n]美 [??kwe??n, -??n]",n. 方程式; 等式; 相等; [化学] 反应式;
basically,"英 [?be?s?kli]美 [?bes?k?li,-kli]",adv. 主要地; 从根本上说; 基本，基本上; 总的说来;
indexed,英 ['?ndekst]美 ['?ndekst],adj. 编入索引的，被变址的，与生活指数（或物价指数）挂钩的;
overridden,英 [???v?'r?dn]美 [?o?v?'r?dn],v. 越控( override的过去分词 ); （以权力）否决; 优先于; 比…更重要;
vocabulary,英 [v??k?bj?l?ri]美 [v??k?bj?leri],n. （某一语言的）词汇; （尤指外语教科书中附有释义的）词汇表;
fitting,英 [?f?t??]美 [?f?t??],n. 装修; 试穿，试衣; 设备，器材; 装置; adj. 适合的，适宜的; 适当的; 相称的; v
markdown,英 [?mɑ:kda?n]美 [?mɑrkda?n],n. 减价;
reserved,英 [r??z?:vd]美 [r??z?rvd],adj. 预订的; 矜持的; 储藏着的; v. 保留[储备]某物( reserve的过去式);
knight,英 [na?t]美 [na?t],n. 骑士; 爵士; （中古时代的）武士; （国际象棋中）马; vt. 封…为爵士;
direction,"英 [d??rek?n]美 [d??r?k??n, da?-]",n. 方向; 趋势; 方面; 用法说明;
ending,英 [?end??]美 [??nd??],n. 结束; 结局; 终结; 最后部份; v. 结束，终止(end的现在分词);
upstream,英 [??p?stri:m]美 [??p?strim],adj. 逆流而上的; 向上游的; （石油工业等）上游的; adv. 向上游; 逆流地; n. 上游
divisor,英 [d??va?z?(r)]美 [d??va?z?],n. 因子; <数>除数; 分水设备;
transport,英 [?tr?nsp?:t]美 [?tr?nsp?rt],vt. 运送，运输; 流放; 使欣喜若狂; n. 运输; 运输船（机），运输系统; 狂喜; 流放犯;
discourse,英 [?d?sk?:s]美 [?d?sk?rs],n. 论述，交谈; 正式的讨论; vi. 演说; 谈论; vt. 叙述; 讨论;
posting,英 [?p??st??]美 [?po?st??],n. 记录; [会计]过帐，记账; 委派; v. 邮寄; 公布; 张贴(post的现在分词);
electrical,,
clock,英 [kl?k]美 [klɑk],n. 钟，时钟; 计时器; 秒表; 仪表; vt. 记录（时间或速度）; 测…的速度; vi. 打卡
cluster,英 [?kl?st?(r)]美 [?kl?st?],n. 群; 丛; 簇，串; [语言]辅音群; vi. 丛生; 群聚; vt. 使密集，使聚集;
tracing,英 [?tre?s??]美 [?tres??],n. 追踪; 追查; 描摹; 摹图; v. 跟踪; 追溯; 描绘( trace的现在分词 ); 发现
retention,英 [r??ten?n]美 [r??t?n??n],n. 保留; 记忆力，保持力; 滞留，扣留; 闭尿;
chinese,"英 [?t?a??ni:z]美 [t?a??niz, -?nis]", 七夕;
architecture,英 [?ɑ:k?tekt??(r)]美 [?ɑrk?tekt??(r)],n. 体系结构; 建筑学; 建筑风格; （总体、层次）结构;
bundle,英 [?b?ndl]美 [?b?ndl],n. 捆; 一批（同类事物或出售的货品）; 一大笔钱; 风趣的人; vt.& vi. 收集，归拢，把
routing,英 ['ru:t??]美 ['rut??],vt. 按某路线发送（route的现在分词形式）;
keyboard,英 [?ki:b?:d]美 [?kib?rd],n. 键盘; 琴键; 电子琴; vt. 用键盘输入; 用键盘式排字机排字; vi. 用键盘进行操作;
integral,"英 [??nt?gr?l]美 [??nt?ɡr?l, ?n?t?ɡr?l]",adj. 积分的; 完整的; 必须的; n. 积分; 整体;
diagnostic,英 [?da??g?n?st?k]美 [?da??g?nɑst?k],adj. 诊断的，判断的; 特征的; n. 诊断法，诊断程式; 诊断结论;
speaker,英 [?spi:k?(r)]美 [?spik?],n. 扬声器; 说话者; 演讲者，发言人; 讲某种语言的人;
subset,英 [?s?bset]美 [?s?b?s?t],n. 子集;
reduced,英 [r?'dju:st]美 [r?'djust],adj. 减少的，简化的; v. 换算( reduce的过去式和过去分词 ); 约束; 使变为; 使
shallow,英 [???l??]美 [???lo?],adj. 浅的，肤浅的; 表面的，皮毛的; （水，器物等）浅的; （呼吸）浅的; n. 浅处; 浅滩
offer,英 [??f?(r)]美 [??f?(r)],vt. 提供，给予; 提出，提议; 出价，开价; 表示愿意; vi. 提议; 企图，想要; 供奉; 
greet,英 [gri:t]美 [ɡrit],vt. 打招呼; 欢迎，迎接; 致敬，致意; （景象，声音等）映入眼帘;
lightweight,英 [?la?twe?t]美 [?la?t?wet],adj. 轻量的; 不重要的; n. 轻量级选手; 不重要的人;
registration,英 [?red???stre??n]美 [?r?d???stre??n],n. 挂号; 登记，注册; 登记（或注册、挂号）人数; <音>（管风琴）音栓配合（法）;
whale,"英 [we?l]美 [hwel, wel]",n. [动]鲸，鲸鱼; 巨大的事物; v. 捕鲸; 击打，猛击;
notion,英 [?n???n]美 [?no??n],n. 概念，观念; 意见，见解; 奇想; 打算;
recur,英 [r??k?:(r)]美 [r??k?],vi. 复发; 重现; 再发生; 回想;
instantiation,英 [?nst?n??'e???n]美 [?nst?n??'e???n],n. 实例化，例示;
sheet,英 [?i:t]美 [?it],n. 纸; 被单; 一张（通常指标准尺寸的纸）; 一大片（覆盖物）; 表格; vt. 用（床单等）包
improved,英 [?m'pru:vd]美 [?m'pruvd],adj. 改良的; v. 改善，改进，提高( improve的过去式和过去分词 ); 提高（土地、地
shuffle,英 [???fl]美 [???f?l],vt. 洗牌; 曳脚而行; 搬移; 搁置，随手放; vi. 推诿; 曳脚走; 跳曳步舞; 移动; n
trunk,英 [tr??k]美 [tr??k],n. 树干; 躯干; 象鼻; 汽车车尾的行李箱;
diamond,"英 [?da??m?nd]美 [?da??m?nd, ?da?m?nd]",n. 菱形; 钻石，金刚石; 方块; vt. 镶钻石于; 用钻石装饰; adj. 金刚石的; 菱形的
sanitize,英 [?s?n?ta?z]美 [?s?n??ta?z],vt.  净化;  进行消毒; 使清洁; 审查;
adapter,英 [?'d?pt?]美 [??d?pt?],n. 适配器; 改编者; 改写者适应者; 适应物;
classify,英 [?kl?s?fa?]美 [?kl?s??fa?],vt. 分类，归类; 把…列为密件;
visual,英 [?v??u?l]美 [?v??u?l],adj. 视觉的，看得见的; 光学的，视力的; 形象化的; 光学的; n. 画面，图象;
snippet,英 [?sn?p?t]美 [?sn?p?t],n. 小片，片段; 不知天高地厚的年轻人;
micro,英 [?ma?kr??]美 [?ma?kro?],n. <口>微型计算机; 微处理器; adj. 极小的;
abstraction,"英 [?b?str?k?n]美 [?b?str?k??n, ?b-]",n. 抽象; 抽象化; 抽象概念; 出神;
legal,英 [?li:gl]美 [?liɡ?l],adj. 法律的; 合法的; 法定的; 法律（上）的; n. 法定权利; 依法必须登报的声明;
symmetric,英 [s?'metr?k]美 [s?'metr?k],adj. 相称性的，均衡的;
recognition,英 [?rek?g?n??n]美 [?r?k?ɡ?n???n],n. 认识，识别; 承认，认可; 褒奖; 酬劳;
telnet,英 [?telnet]美 [?t?l?n?t],n. 远程登录;
tense,英 [tens]美 [t?ns],adj. 拉紧的; 肌肉绷紧的; 神经紧张的; [语]（语音）紧的; n. [语]时，时态; 〈古〉
paste,英 [pe?st]美 [pest],n. 面团; 糨糊; 肉（或鱼等）酱（作涂抹料或烹饪用）; （制作人造宝石的）铅质玻璃; vt. 粘
chart,英 [t?ɑ:t]美 [t?ɑrt],n. 图表; 航海图; 排行榜; vt. 绘制地图; 记录; 记述; 跟踪（进展或发展）;
scaling,英 ['ske?l??]美 ['ske?l??],n. 定标; 缩放比例; 洁治; 刮治术;
computational,英 [?k?mpju?te???nl]美 [?kɑmpju?te???nl],adj. 计算的;
compilation,英 [?k?mp??le??n]美 [?kɑmp??le??n],n. 汇编; 编辑;
rolling,英 [?r??l??]美 [?ro?l??],adj. 旋转的; 波动的; 起伏的; n. 旋转; 动摇; 轰鸣;
destination,英 [?dest??ne??n]美 [?d?st??ne??n],n. 目的，目标; 目的地，终点; [罕用语]预定，指定;
banana,英 [b??nɑ:n?]美 [b??n?n?],n. 香蕉; 芭蕉属植物; 喜剧演员;
tested,英 ['test?d]美 ['test?d],adj. 经过试验的; 经受过考验的; 经验定的; 检验无病的; v. 考验; 测验( test的过
normalization,英 [?n?:m?la?'ze??n]美 [?n?m?la?'ze??n],n. 正常化; 标准化; 正态化;
segmentation,"英 [?segmen?te??n]美 [?s?ɡm?n?te??n, -m?n-]",n. 分割; 分段; 切分; 分节;
sibling,英 [?s?bl??]美 [?s?bl??],n. 兄弟，姐妹; [生]同科，同属; [人]氏族成员;
modern,英 [?m?dn]美 [?mɑd?rn],adj. 现代的; 近代的; 新式的; 当代风格的; n. 现代人，现代主义者; 时髦人士; [印]
former,英 [?f?:m?(r)]美 [?f?rm?(r)],adj. 以前的，从前的; 在前的; 前任的; n. 模型，样板; 构成者，创造者; 起形成作用的人
protect,英 [pr??tekt]美 [pr??t?kt],vt. 保护，保卫; 贸易保护; 备款以支付;
finish,英 [?f?n??]美 [?f?n??],vt.& vi. 完成; 结束; 吃光; 使筋疲力尽; n. 结束; 结尾; 最后阶段; 抛光;
subsequence,英 ['s?bs?kw?ns]美 ['s?bs??kwens],n. 顺序; 后继，随后;
optimal,,
elsewhere,英 [?els?we?(r)]美 [?els?wer],adv. 在别处，到别处; 他;
rectangle,英 [?rekt??gl]美 [?r?k?t??ɡ?l],n. [数]长方形，矩形;
polymorphism,英 [?p?l?'m?:f?z?m]美 [?p?l?'m?f?z?m],n. 多型现象，多态性; 多机组合形式; 多形性;
magnitude,英 [?m?gn?tju:d]美 [?m?gn?tud],n. 量级; 巨大，广大; 重大，重要; （地震）级数;
thumb,英 [θ?m]美 [θ?m],n. 拇指; （手套的）拇指部份; vi. 翘起拇指请求搭乘（过路汽车），示意请求搭便车; 翻阅; 
binomial,英 [ba??n??mi?l]美 [ba??no?mi?l],adj. 二项的，二项式的;
universal,英 [?ju:n??v?:sl]美 [?jun??v?rsl],adj. 普遍的，一般的; 通用的，万能的; 全世界的; 宇宙的; n. [逻辑学]全称命题; [哲
distinction,英 [d??st??k?n]美 [d??st??k??n],n. 区别; 荣誉; 特质; 卓越;
lister,英 ['l?st?]美 ['l?st?],n. 制表人，造册者，<美>（装撒种器的双壁犁）;
sublime,英 [s??bla?m]美 [s??bla?m],adj. 庄严的，雄伟的; 令人赞叹的; 极端的; 傲慢的; n. 庄严，崇高; 高无上，顶点; v
fault,英 [f?:lt]美 [f?lt],n. 缺点，缺陷; 过错，责任; [电]故障; （猎狗的）失去嗅迹; vt. 挑剔，找…的缺点; 批
serving,英 [?s?:v??]美 [?s?rv??],n. 服务; 上菜; （食物或饮料的）一份; adj. 用于上菜的; v. 提供; （为…）服务( 
paper,英 [?pe?p?(r)]美 [?pe?p?r],n. 纸; 论文; 文件; 文章; vt.& vi. 贴纸; vt. 包装，用纸覆盖; 贴壁纸; 提
logout,英 [?l?ga?t]美 [?l?ga?t],v. 退出，注销;
workbook,英 [?w?:kb?k]美 [?w?rkb?k],n. 练习本，作业本;
worksheet,英 [?w?:k?i:t]美 [?w?rk?it],n. 工作表，学习单;
newly,英 [?nju:li]美 [?nuli],adv. 新近，最近; 重新，又，再度; 以新的方式; 乍;
successful,英 [s?k?sesfl]美 [s?k?s?sf?l],adj. 成功的，如愿以偿的;
catching,"英 [?k?t???]美 [?k?t???, ?k?t?-]",adj. 传染性的; 吸引人的; v. 赶上; 抓住( catch的现在分词);
curve,英 [k?:v]美 [k?rv],n. 弧线，曲线; 曲线状物; 弯曲物; [棒]曲线板; vt. 使弯曲; 使成曲线; 使成弧形; 
skeleton,英 [?skel?tn]美 [?sk?l?tn],n. 骨骼; （建筑物等的）骨架; 梗概; 骨瘦如柴的人（或动物）; adj. 骨骼的; 骨瘦如柴的
dormouse,英 [?d?:ma?s]美 [?d?rma?s],n. 冬眠鼠，睡鼠;
retry,英 [?ri:?tra?]美 [?ri'tra?],v. 再试，再审;
shrink,英 [?r??k]美 [?r??k],vt.& vi. 收缩，皱缩; （使）缩水; 退缩，畏缩; n. 收缩; 畏缩; <俚>精神病学家;
annotation,英 [??n?'te??n]美 [??n?'te??n],n. 注释;
faker,英 [fe?k?(r)]美 [fe?k?(r)],n. 骗子; 冒牌货; 伪造者; 捏造者;
registry,英 [?red??stri]美 [?r?d??stri],n. 记录，登记; 登记处，挂号处; 记录簿; 船舶的国籍;
indirect,"英 [??nd??rekt]美 [??nd??r?kt, -da?-]",adj. 间接的; 不直截了当的; 闪烁其词的; 不坦率的;
unsafe,英 [?n?se?f]美 [?n?sef],adj. 不安全的; 危险的; 不安稳的;
personal,英 [?p?:s?nl]美 [?p?rs?nl],adj. 个人的，私人的; 身体的; 亲自的; 人身攻击的; n. （报刊上的）人事栏，分类人事广告
delivery,"英 [d??l?v?ri]美 [d??l?v?ri, -?l?vri]",n. 分娩; 传送，投递; [法]（正式）交付; 讲演;
licensed,英 [?la?snst]美 [?la?snst],adj. 得到许可的; v. 许可，颁发执照(license的过去式和过去分词);
assumed,英 [??sju:md]美 [??sumd],adj. 假定的; 假装的; 假冒的; 被承担的; v. 假定; 假设; 取得（权力）( assum
modulo,英 ['m?dj?l??]美 ['m?dj??lo?],prep. 模数; 以…为模;
truncate,英 [tr???ke?t]美 [?tr??ke?t],vt. 缩短;
driver,英 [?dra?v?(r)]美 [?dra?v?],n. 驾驶员，司机; 驱动器，驱动程序; 驱逐者，驱赶者; （高尔夫球）球棒;
helpful,英 [?helpfl]美 [?h?lpf?l],adj. 给予帮助的，有益的; 愿意帮忙的;
discount,英 [?d?ska?nt]美 [?d?s?ka?nt],vt. 打折扣，减价出售; 减息贷款; 削价出售，打折; 减价，减量; vi. 折扣; 贴现; 贴现
responsible,英 [r??sp?ns?bl]美 [r??spɑns?bl],adj. 负有责任的; 尽责的; 承担责任; 懂道理的;
persistent,英 [p??s?st?nt]美 [p?r?s?st?nt],adj. 持续的; 持久的; 坚持不懈的; 坚持不渝;
smart,英 [smɑ:t]美 [smɑrt],adj. 聪明的; 敏捷的; 漂亮的; 整齐的; vi. 疼痛; 感到刺痛; 难过; n. 创伤; 
assuming,英 [??sju:m??]美 [??sum??],conj. 如果; adj. 傲慢的，自负的; 僭越的; v. 假定; 取得（权力）( assume
aggregation,英 [??ɡr?'ɡe??n]美 [??ɡr??ɡe??n],n. 聚集; 集结; 集成; 聚集体;
linguistics,英 [l???gw?st?ks]美 [l???ɡw?st?ks],n. 语言学; 语言的，语言学的，语言研究的( linguistic的名词复数 );
spacing,英 [?spe?s??]美 [?spes??],n. 间隔，间距; 跨距; 疏密; 留间隔;
gateway,英 [?ge?twe?]美 [?ɡet?we],n. 入口; 门; 途径;
artist,英 [?ɑ:t?st]美 [?ɑrt?st],n. 艺术家; 画家; 能手;
logarithm,英 [?l?g?r?e?m]美 [?l?g?r?e?m],n. 对数;
profiling,英 [?pr??fa?l??]美 [?pro?fa?l??],n. 压型; v. 扼要介绍( profile的现在分词 ); 给…画侧面图; 描…的轮廓; 用数字
america,英 [?'mer?k?]美 [??m?r?k?],n. 花旗布;
successor,英 [s?k?ses?(r)]美 [s?k?s?s?],n. 接替的人或事物; 继承人，继任者;
covariance,英 [k??'ve?r??ns]美 [ko?'ver?rns],n. 协方差;
garage,英 [?g?rɑ:?]美 [g??rɑ?],n. 车库; 汽车修理站; 飞机库; vt. 把…送入车库; 把（汽车）开进车库;
education,英 [?ed?u?ke??n]美 [??d???ke??n],n. 教育; 培养; 教育学; 训练;
mailer,英 [?me?l?(r)]美 ['me?l?r],n. 信封; <美>邮寄者; 包装邮件用的箱（或匣）; 邮寄广告性印刷品;
interaction,英 [??nt?r'?k?n]美 [??nt???k??n],n. 互动; 一起活动; 合作; 互相影响;
touch,英 [t?t?]美 [t?t?],vt. 触摸; 使某物与…轻轻接触; 吃或喝，尝; [数]与…相切; n. 触摸，碰; 触觉，触感;
relational,英 [r??le???nl]美 [r?'le???nl],adj. 亲属的，相关的，有关的;
bridge,英 [br?d?]美 [br?d?],n. 桥; 桥牌; 鼻梁; 起联系作用的东西; vt. 在…建桥，架桥于…之上; 通过桥横跨;
subtract,英 [s?b?tr?kt]美 [s?b?tr?kt],vt. 减去; 扣除;
stride,英 [stra?d]美 [stra?d],n. 步幅; 大步，阔步; 进展; 一跨（的宽度）; vt.& vi. 跨过; 大踏步走; vi. 
determinant,英 [d??t?:m?n?nt]美 [d??t?rm?n?nt],n. 行列式; 决定因素; 决定物; 免疫因子; adj. 决定因素的; 限定性的;
extractor,英 [?k?str?kt?(r)]美 [?k?str?kt?r],n. 抽油烟机;
frank,英 [fr??k]美 [fr??k],adj. 坦白的，直率的; 清楚表明的; 明显的; n. 弗兰克; 免费邮寄权; 免费邮戳或签名; 
naturally,"英 [?n?t?r?li]美 [?n?t??r?li, ?n?t?r?-]",adv. 自然地，表现自然地，顺理成章地; 合理地，当然，不用说; 生来，天然地; 自自然然，不做作
preferred,英 [pr?'f?d]美 [pr?'f?d],adj. 首选的; v. 提出（请求、控诉等）( prefer的过去式和过去分词 ); 提升; 建议
transformation,英 [?tr?nsf??me??n]美 [?tr?nsf?r?me??n],n. 变化; <核>转换; <语>转换; <电>变换;
connector,英 [k??nekt?(r)]美 [k??nekt?r],n. 连接器，连接体;
detection,英 [d??tek?n]美 [d??t?k??n],n. 侦查; 检查; 察觉; 发觉;
derived,英 [d?'ra?vd]美 [d?'ra?vd],vi. 衍生; 导出; 起源; 由来; v. 得到( derive的过去式和过去分词 ); （从…中
composite,英 [?k?mp?z?t]美 [k?m?pɑz?t],adj. 混合成的，综合成的; [建]综合式的; [数]可分解的; [植]菊科的; n. 合成物，混
collected,英 [k??lekt?d]美 [k??l?kt?d],adj. 镇定的; 收集成的; v. 收集( collect的过去式和过去分词);
closure,英 [?kl????(r)]美 [?klo???(r)],n. 结束; （永久的）停业，关闭; [电]闭合; [数]闭包; vt. 使结束，使终止; 使停止辩
currency,英 [?k?r?nsi]美 [?k?r?nsi],n. 货币; 通用，流通，流传，传播; 市价，行情; 流通时间;
serialize,英 [?s??ri?la?z]美 [?s?ri?la?z],vt. 连载，连播（故事）;
spoken,英 [?sp??k?n]美 [?spo?k?n],adj. 口语的; 口头的; 口头讲的; （用以构成复合词）具…说话特点的; v. 说; 讲，谈（ 
lesser,英 [?les?(r)]美 [?l?s?],adj. 较小的; 较少的; 次要的;
broken,英 [?br??k?n]美 [?bro?k?n],adj. 破碎的，打碎的; （腿，臂等）已骨折的; （线条）虚线的，断续的; 被打断的; v. 打破
traverse,英 [tr??v?:s]美 [tr??v?rs],n. 穿过; 横贯，横切; 横木; [建]横梁; vt. 通过; 横越，横贯; [法]否认，反驳; 
provider,英 [pr??va?d?(r)]美 [pr??va?d?],n. 供应者，提供者，（尤指）维持家庭生计者;
bubble,英 [?b?bl]美 [?b?b?l],n. 泡，水泡; 冒泡，起泡; 泡影，妄想; （欲表达的）一点感情; vt.& vi. 起泡，使冒气
increasing,英 [?n'kri:s??]美 [?n'kr?s??],v. 增加，增大，增多( increase的现在分词 ); 增强，增进; [缝纫]放（针）; 增强;
occurrence,英 [??k?r?ns]美 [??k?r?ns],n. 发生，出现; 遭遇，事件;
alignment,英 [??la?nm?nt]美 [??la?nm?nt],n. 结盟; 队列，排成直线; 校直，调整; [工]准线;
hierarchical,英 [?ha???rɑ:k?kl]美 [?ha???rɑrk?kl],adj. 分层的; 按等级划分的，等级（制度）的;
stacked,英 [st?kt]美 [st?kt],v. 堆积( stack的过去式和过去分词 );
ambiguity,英 [??mb??gju:?ti]美 [??mb??ɡju?ti],n. 含糊; 意义不明确; 含糊的话，模棱两可的话; 可作两种或多种解释;
rename,英 [?ri:?ne?m]美 [?ri??ne?m],vt. 给…重新取名，改名;
persistence,英 [p??s?st?ns]美 [p?r?s?st?ns],n. 持续; 坚持不懈; 执意; 留存，（萤光屏上余辉的）保留时间;
picture,英 [?p?kt??(r)]美 [?p?kt??],n. 照片，画像; 图画，图片; 影片; 情景; vt. 构想，想象; 描绘，画; 描述;
fundamentals,英 [?f?nd?'mentlz]美 [?f?nd?'mentlz],n. 原理; 基本原则，基本法则( fundamental的名词复数);
formally,英 ['f?:m?l?]美 [?f?rml?],adv. 正式地; 形式上; 正规地; 拘泥形式地;
roughly,英 [?r?fli]美 [?r?fl?],adv. 粗略地; 大致上; 大体上; 粗暴地;
demonstrate,英 [?dem?nstre?t]美 [?d?m?n?stret],vt. 论证; 证明，证实; 显示，展示; 演示，说明; vi. 示威游行;
fallback,英 [?f?:lb?k]美 [?f?l?b?k],n. 可依靠的东西，退却; 回降物;
anyone,"英 [?eniw?n]美 [??ni?w?n, -w?n]",pron. 任何人; 谁; 任何一个;
developed,英 [d??vel?pt]美 [d??v?l?pt],adj. 先进的; 发达的（国家或地区）;
birth,英 [b?:θ]美 [b?rθ],n. 出生; 分娩; 出身; 起源;
trade,英 [tre?d]美 [treid],n. 贸易; 行业; 买卖; <美>顾客; vt.& vi. 交易，经商; vt. 交换; 经营…交
supervisor,英 [?su:p?va?z?(r)]美 [?sup?rva?z?(r)],n. 监督者，管理者; 镇长;
tensor,"英 [?tens?(r)]美 [?t?ns?, -?s?r]",n. 张肌，张量;
squared,英 [skwe?d]美 [skwerd],adj. 正方形的；带有方格图案的;
supporting,英 [s??p?:t??]美 [s??p?rt??],adj. 支持的，支撑的; v. 支撑; 支持( support的现在分词 ); 帮助; 维持;
vegetable,"英 [?ved?t?bl]美 [?v?d?t?b?l, ?v?d??t?-]",n. 蔬菜; 植物人; adj. 蔬菜的; 植物的;
neutral,英 [?nju:tr?l]美 [?nutr?l],adj. 中立的; （化学中）中性的; 暗淡的; 不带电的; n. （汽车或其他机器的）空挡位置; 
gooey,英 [?gu:i]美 [?ɡui],adj. 胶粘的，感伤的; n. 胶粘物，蜜糖;
favorite,"英 ['fe?v?r?t]美 [?fev?r?t, ?fevr?t]",n. 特别喜欢的人（或物）; 喜欢的事物; 最有希望获胜者（尤指马）; 收藏夹; adj. 喜爱的，
theme,英 [θi:m]美 [θim],n. [乐]主题; 主旋律; 题目，话题; （学生的）作文; adj. 以奇想主题布置的;
symbolic,英 [s?m?b?l?k]美 [s?m?bɑl?k],adj. 象征的，象征性的;
augment,英 [?:g?ment]美 [?ɡ?m?nt],vt. 增强，加强; 增加，增添; （使）扩张，扩大; n. 增加，补充物;
automated,英 ['?:t??me?t?d]美 ['?to?me?t?d],adj. 自动化的; v. 自动化(automate的过去分词); 自动操;
whirlwind,英 [?w?:lw?nd]美 [?w?rlw?nd],n. 旋风; 猛烈的势力; 混乱; 破坏性的力量或事物; adj. 旋风般的; 急速的; 喧嚣混乱的
notebook,英 [?n??tb?k]美 [?no?tb?k],n. 笔记本; 笔记本电脑; 笔记簿; 手册;
interpolation,英 [?n?t?:p?'le??n]美 [?n?t?p??le??n],n. 窜改; 添写，插补;
timeline,英 [?ta?mla?n]美 ['ta?mla?n],n. 时间轴，时间表;
zipcode,英 [z?p'k??d]美 [z?p'ko?d],n. 邮政编码;
holding,英 [?h??ld??]美 [?ho?ld??],n. 佃户租种的土地; 所有物（如土地、债券、股份等）; 私有财产; （因其热情、精力或决心等）阻拦
payment,英 [?pe?m?nt]美 [?pem?nt],n. 付款，支付; 报酬，报答; 偿还; 惩罚，报应;
hardware,英 [?hɑ:dwe?(r)]美 [?hɑrdwer],n. 五金器具; 计算机硬件; 武器装备;
promo,英 [?pr??m??]美 [?pro?mo?],n. 促销; 商品推销，商品广告，广告片; <美口>宣传，推广;
speaking,英 ['spi:k??]美 [?spik??],n. 说话; 讲话; 演讲; 谈话; adj. 演讲的; 富于表情的; （肖像）栩栩如生的; 雄辩的
perfect,英 [?p?:f?kt]美 [?p?rf?kt],adj. 完美的; 正确的; 优秀的; 极好的; n. [语]完成时; v. 使完善; 使完备 ; 
discover,英 [d??sk?v?(r)]美 [d??sk?v?],vt. 发现; 碰见; 撞见; 获得知识;
mapper,英 ['m?p?]美 ['m?p?],n. 制图人;
credentials,英 [kr??den?lz]美 [kr??den?lz],n. 证书; 凭证，证件;
maintenance,英 [?me?nt?n?ns]美 [?ment?n?ns],n. 维护; 维修; 维持，保持; 保养，保管;
detect,英 [d??tekt]美 [d??t?kt],vt. 查明，发现; 洞察; 侦察，侦查; [电子学]检波;
notify,英 [?n??t?fa?]美 [?no?t?fa?],vt. 通知; 布告;
strict,英 [str?kt]美 [str?kt],adj. 精确的; 绝对的; 严格的，严谨的; [植]笔直的;
theoretical,英 [?θ???ret?kl]美 [?θi??ret?kl],adj. 理论的; 推想的，假设的; 空论的;
closer,英 ['kl??z?]美 ['klo?z?],adj. 靠近的; n. 关闭者; 砌墙边之砖石; 最后的节目;
disabled,英 [d?s?e?bld]美 [d?s?eb?ld],adj. 残废的，有缺陷的; v. 使无能力( disable的过去式和过去分词); 使残废; 使伤
denominator,英 [d??n?m?ne?t?(r)]美 [d??nɑm?ne?t?(r)],n. <术>分母; 共同特性;
distribute,英 [d??str?bju:t]美 [d??str?bjut],vt. 分配，散布; 散发，分发; 把…分类; [电]配电;
deprecation,英 [depr?'ke???n]美 [depr?'ke???n],n. 强烈不赞成，祈免，反对;
handbook,英 [?h?ndb?k]美 [?h?nd?b?k],n. 手册; 指南;
spaced,英 [spe?st]美 [spe?st],vt. 把…分隔开，留间隔于…之间（space的过去式与过去分词形式）;
demand,英 [d??mɑ:nd]美 [d??m?nd],vt. 需要; 要求，请求; [法]召唤; 询问，盘问; n. 需求; 需要; 要求，请求; 销路;
obscure,英 [?b?skj??(r)]美 [?b?skj?r],adj. 昏暗的，朦胧的; 晦涩的，不清楚的; 隐蔽的; 不著名的，无名的; vt. 使…模糊不清，
commuter,英 [k??mju:t?(r)]美 [k??mjut?],n. （远距离）上下班往返的人;
vision,英 [?v??n]美 [?v???n],n. 视力，视觉; 美景，绝妙的东西; 幻影; 想像力; vt. 在幻觉中看到; 幻想，想象; 梦见
effectively,英 [??fekt?vli]美 [??f?kt?vli],adv. 有效地; 实际上，事实上;
credit,英 [?kred?t]美 [?kr?d?t],n. 学分; 信誉，信用; [金融]贷款; 荣誉; vt. 相信，信任; 归功于; [会]记入贷方;
prepared,英 [pr??pe?d]美 [pr??perd],adj. 事先准备好的; 愿意的; 期望的; adv. 事先准备好地; 愿意地; 期望地; v. 准
interpret,英 [?n?t?:pr?t]美 [?n?t?rpr?t],vt. 解释; 理解; 口译; 诠释，体现; vi. 作解释; 作口译;
ellipsis,英 [??l?ps?s]美 [??l?ps?s],n. （语法结构上的）省略;
delta,英 [?delt?]美 [?d?lt?],n. 希腊语字母表第四字母δ; （河流的）三角洲; [数]变量增量;
padding,英 [?p?d??]美 [?p?d??],n. 衬垫; 衬料; 赘语; 废话; v. 给…装衬垫，加垫子( pad的现在分词 ); 步行，放轻
